loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
7.0,1.0,1.0,1.0,8.0,22.46,0.4,2.5,8.98,56.15,0.01,3.12,0,1,2,0,5.0,2.0,6.0,2.0,1.0,0
133.0,30.0,1.0,26.0,605.0,4185.91,0.01,77.46,54.04,324260.81,1.4,18014.49,3,91,55,0,50.0,71.0,385.0,220.0,34.0,1
3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,8,0,1.0,0.0,1.0,0.0,1.0,0
44.0,8.0,4.0,7.0,159.0,971.26,0.08,13.06,74.36,12685.78,0.32,704.77,2,31,10,0,20.0,49.0,95.0,64.0,15.0,1
20.0,6.0,6.0,2.0,241.0,1299.55,0.02,46.0,28.25,59779.23,0.43,3321.07,1,6,6,0,23.0,19.0,165.0,76.0,11.0,0
125.0,18.0,1.0,13.0,438.0,3131.59,0.02,40.25,77.8,126046.47,1.04,7002.58,13,50,21,0,46.0,96.0,270.0,168.0,31.0,0
5.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3.0,2.0,3.0,2.0,1.0,0
101.0,19.0,9.0,8.0,677.0,4887.38,0.02,64.68,75.56,316115.55,1.63,17561.98,44,76,84,0,49.0,100.0,413.0,264.0,37.0,0
8.0,1.0,1.0,1.0,49.0,181.32,0.14,7.0,25.9,1269.25,0.06,70.51,0,3,3,0,7.0,6.0,37.0,12.0,1.0,0
16.0,4.0,1.0,2.0,109.0,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,6,10,9,0,24.0,19.0,68.0,41.0,7.0,0
10.0,2.0,1.0,2.0,39.0,171.3,0.09,10.56,16.21,1809.36,0.06,100.52,4,15,6,0,13.0,8.0,26.0,13.0,3.0,0
9.0,2.0,1.0,1.0,43.0,185.84,0.11,9.17,20.27,1703.56,0.06,94.64,3,3,1,0,11.0,9.0,28.0,15.0,3.0,0
